, Fuel Type, Transmission, Top Speed, Time for 0-100 kmph Acceleration , Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Turbo / SuperCharger, Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Forward Collision Warning , Automatic Emergency Braking, High-beam Assist, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Speed Sensing Door Lock, Anti theft Engine immobilizer, Middle rear three-point seatbelt, Flashing Emergency Brake Light , Central Locking, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Tyre Pressure Monitoring (TPMS), Gear Shift Indicator, Parking Sensors, Parking Assist, Clock, Headlights On Reminder, Tachometer, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote AC Control Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, Integrated Music System, Infotainment Display, Voice Command Support, Android / Apple Connectivity , Steering Mounted Controls, Wireless Charger, GPS & Navigation, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, Push Button Start / Stop, Cruise Control Driving Mode, Steering Adjustment, Air Conditioner, Heater, Front AC, Rear AC, Vanity Mirrors on Sun Visors, Anti-glare Rear View Mirrors, 12V Power Outlets, Head Rest for Middle Rear Seat, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Brake Assist in Emergency (BA), Electronic Stability Program (ESP), Traction Control, Hill Hold Assist, Differential Lock, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Adjustment Options - Rear Row Seat, Driver Armrest, Armrest for Rear Seat, Headrests, Rear Passenger Seats Type, Power Windows, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Rain-sensing Wipers, Rear Glass Defogger, Exterior Door Handles, Interior Door Handles, Blinds - Side Window, Blinds - Rear Windshield, Doot Sill Plates, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Turn Indicators on ORVM, Boot / Dikki Opener, Headlights, Automatic Head Lights, Headlight Height Adjuster, Follow me home head Lights, Daytime Running Lights, Tail Light, Interiors, Leather-wrapped Steering, Leather-wrapped Gear Knob, Interior Colour(s), Lights inside Cabin, Ambient or soft Interior Lighting, Cup Holders, Cooled Glove Box, Light inside Glove Box, Storage in Driver Armrest, Pockets inside Door, Pockets in Front Seat-back, Lights on Vanity Mirrors, Reading Lamp for Rear Passengers, Sunglass Holder, Sunroof / Moonroof, Roof Mounted Antenna, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres), Seat Adjustment,NAME, 4x4 or All Wheel Drive, Remote Car Light Flashing & Honking Via app, Boot Access from the Last Row Seats, Folding Rear Seat, Split Rear Seat, Rear Wiper, Fog Lamps, Chrome Finish Exhaust pipe, Rub - Strips, Others, Lane Departure Warning, Unit / Display Size, Internal Hard-disk, DVD Playback, Cornering Headlights, Puddle Lights, Electric Motor, Peak Motor Performance, Battery, Puncture Repair Kit, Body Kit, Battery Warranty (Years), Ventilated Seats, Ventilated Seat Type
0, Petrol," Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode", 250, 6.9, 14.4, 1072," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L Ingenium Turbocharged Petrol, 247 bhp @ 5500 rpm, 365 Nm @ 1300 rpm, Turbocharged, RWD, BS 6, Power assisted (Electric), 6.01, Sport Double Wishbone Layout with Anti-Roll Bar, Sport Integral Link, Alloy Wheels, 245 / 45 R18, 245 / 45 R18, Space Saver, 459, 74, 5, 4962, 1982, 1456, 2960, 135, 1660, 2, 4, 5 Star (Euro NCAP)," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, 360 Camera, Digital,No information, Analogue,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Co-Driver Only, Electronic - Internal & Driver Door, 3,No information, Disc, Disc,No information,No information,No information,No information,No information,No information, Electronic, Leather," 12 way electrically adjustable with 3 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down) + 2 way manually adjustable (headrest up / down)"," 12 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down) + 2 way manually adjustable (headrest up / down)", 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Body Coloured, Silver, Rear - Manual, Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED, LED, Dual Tone,No information,No information," Siena Tan / Ebony , Mars Red / Ebony , Light Oyster / Ebony , Ebony with Light Oyster Morzine / Ebony Morzine / Light Oyster Suede / Ebony Suede Headliner and Satin Charcoal Ash / Natural Burr Ash / Aluminium / Engineered Wood Trim", Front and Rear,No information, Front & Rear,No information,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information,No information, Panoramic Sunroof,No information,No information, 3, Unlimited,No information, 2 Way,Jaguar XF R-Dynamic S P250,,,,,,,,,,,,,,,,,,,,,,,,
1, Diesel," Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode", 235, 7.6, 19.2, 1269," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L Ingenium Turbocharged Diesel, 201 bhp @ 4250 rpm, 430 Nm @ 1750 rpm, Turbocharged, RWD, BS 6, Power assisted (Electric), 6.01, Sport Double Wishbone Layout with Anti-Roll Bar, Sport Integral Link, Alloy Wheels, 235 / 45 R18, 245 / 45 R18, Space Saver, 448, 66, 5, 4962, 1982, 1456, 2960, 135, 1735, 2, 4, 5 Star (Euro NCAP)," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, 360 Camera, Digital,No information, Analogue,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Co-Driver Only, Electronic - Internal & Driver Door, 3,No information, Disc, Disc,No information,No information,No information,No information,No information,No information, Electronic, Leather," 12 way electrically adjustable with 3 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down) + 2 way manually adjustable (headrest up / down)"," 12 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down) + 2 way manually adjustable (headrest up / down)", 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Body Coloured, Silver, Rear - Manual, Electric, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED, LED, Dual Tone,No information,No information," Siena Tan / Ebony , Mars Red / Ebony , Light Oyster / Ebony , Ebony with Light Oyster Morzine / Ebony Morzine / Light Oyster Suede / Ebony Suede Headliner and Satin Charcoal Ash / Natural Burr Ash / Aluminium / Engineered Wood Trim", Front and Rear,No information, Front & Rear,No information,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information,No information, Panoramic Sunroof,No information,No information, 3, Unlimited,No information, 2 Way,Jaguar XF R-Dynamic S D200,,,,,,,,,,,,,,,,,,,,,,,,
2, Petrol," Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode",, 7.95, 12.9, 1058," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",  2.0L Ingenium Turbocharged I4, 247 bhp @ 5500 rpm, 365 Nm @ 1300 rpm, Turbocharged, AWD, BS 6, Power assisted (Electric), 6, Double Wishbone with Coil Springs, Integral Link with Coil Springs, Alloy Wheels, 255 / 60 R19, 255 / 60 R19, Space Saver, 793, 82, 5, 4747, 2071, 1664, 2874, 213, 1822, 2, 5, 5 Star (Euro NCAP)," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",,,No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, 360 Camera, Digital,No information, Digital,No information,No information,No information,No information,No information,,No information,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - Internal & Driver Door,No information,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information, Electronic, Leather," 10 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, seat base angle up / down) + 2 way manually adjustable (headrest up / down)"," 10 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, seat base angle up / down) + 2 way manually adjustable (headrest up / down)", 2 way electrically adjustable (backrest tilt forward / back) + 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Body Coloured, Chrome,,, Aluminium, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED, LED, Single Tone,No information,No information, Black, Front and Rear,, Front & Rear,No information,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information,No information, Panoramic Sunroof,No information,No information, 3, Unlimited,No information, 4 Way,Jaguar F-Pace S R-Dynamic 2.0 Petrol, Torque-On-Demand,No information,No information, Partial, 40:20:40 split,No information," LED,LED",No information, Chrome Inserts,,,,,,,,,,,,,,,
3, Diesel," Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode",, 8, 19.3, 1158," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",  2.0L Ingenium Turbocharged I4, 201 bhp @ 3750 rpm, 430 Nm @ 1750 rpm, Turbocharged, AWD, BS 6, Power assisted (Electric), 6, Double Wishbone with Coil Springs, Integral Link with Coil Springs, Alloy Wheels, 255 / 60 R19, 255 / 60 R19, Space Saver, 755, 60, 5, 4747, 2071, 1664, 2874, 213, 1876, 2, 5, 5 Star (Euro NCAP)," 6 Airbags (Driver, Passenger, 2 Curtain, Driver Side, Front Passenger Side)",,,No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, 360 Camera, Digital,No information, Digital,No information,No information,No information,No information,No information,,No information,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,No information,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Four Zone),No information," Two Zones, Individual Fan Speed Controls"," Two Zones, Vents Behind Front Armrest, Individual Fan Speed Controls", Co-Driver Only, Electronic - Internal & Driver Door, 1,, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information, Electronic, Leather," 10 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, seat base angle up / down) + 2 way manually adjustable (headrest up / down)"," 10 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, seat base angle up / down) + 2 way manually adjustable (headrest up / down)", 2 way electrically adjustable (backrest tilt forward / back) + 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Body Coloured, Chrome,,, Aluminium, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED, LED, Single Tone,No information,No information,, Front and Rear,, Front & Rear,No information,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information,No information, Panoramic Sunroof,No information,No information, 3, Unlimited,No information, 4 Way,Jaguar F-Pace S R-Dynamic 2.0 Diesel, Torque-On-Demand,No information,No information, Partial, 40:20:40 split,No information," LED,LED",No information, Chrome Inserts," Regenerative Braking, Idle Start/Stop",,,,,,,,,,,,,,
4, Petrol," Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode", 250, 5.9, 12.3, 741," 1997 cc, 4 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", Turbocharged, 296 bhp @ 5500 rpm, 400 Nm @ 1500 rpm, Turbocharged, RWD, BS 6, Power assisted (Hydraulic), 5.33," Double wishbone, Coil Spring, Gas damper, Anti roll bar"," Double wishbone, Coil Spring, Gas damper, Anti roll bar", Alloy Wheels, 255 / 35 R20, 295 / 30 R20, Alloy, 509, 63, 2, 4470, 1923, 1311, 2622, 100, 1595, 1, 2,," 4 Airbags (Driver, Passenger, Driver Side, Front Passenger Side)",,,,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera with Guidance, Digital,No information, Digital,,,No information,No information,,,,No information, LCD Display,No information," Android Auto (Yes), Apple Car Play (Yes)",No information,,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control",, Driver & Co-Driver, Electronic - All,No information,, Disc, Disc,No information,No information,No information,No information,No information,No information,, Leather," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)"," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)",,No information,, Front,, Front Only, Front, Front,No information,, Body Coloured, Chrome,,, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Internal with Remote, LED,No information,No information,No information, LED, LED, Single Tone,No information,No information,, Front,, Front Only,No information,No information,No information, Front,No information, Driver & Co-Driver,,No information,,,No information, 3, 100000,No information,,Jaguar F-Type Coupe R-Dynamic 2.0,,No information,No information,,,,,No information,,,No information, 1 Din,No information,No information, Intelligent,No information,,,,,,,,
5, Petrol," Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode", 285, 4.6, 9.4, 637," 5000 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", Turbocharged, 444 bhp @ 6000 rpm, 580 Nm @ 2500 rpm, Supercharged, RWD, BS 6, Power assisted (Hydraulic), 5.33," Double wishbone, Coil Spring, Gas damper, Anti roll bar"," Double wishbone, Coil Spring, Gas damper, Anti roll bar", Alloy Wheels, 245 / 40 R19, 275 / 35 R19, Alloy, 509, 70, 2, 4470, 1923, 1311, 2622, 100, 1735, 1, 2,," 4 Airbags (Driver, Passenger, Driver Side, Front Passenger Side)",,,,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera with Guidance, Digital,No information, Digital,,,No information,No information,,,,No information, LCD Display,No information," Android Auto (Yes), Apple Car Play (Yes)",No information,,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control",, Driver & Co-Driver, Electronic - All,No information,, Disc, Disc,No information,No information,No information,No information,No information,No information,, Leather," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)"," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)",,No information,, Front,, Front Only, Front, Front,No information,, Body Coloured, Chrome,,, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Internal with Remote, LED,No information,No information,No information, LED, LED, Single Tone,No information,No information,, Front,, Front Only,No information,No information,No information, Front,No information, Driver & Co-Driver,,No information,,,No information, 3, 100000,No information,,Jaguar F-Type V8 Coupe R-Dynamic 5.0,,No information,,,,,,No information,,,No information, 1 Din,No information,, Intelligent,No information,,,,,,,,
6, Petrol," Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode", 285, 4.6, 9.4, 637," 5000 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", Turbocharged, 444 bhp @ 6000 rpm, 580 Nm @ 2500 rpm, Supercharged, RWD, BS 6, Power assisted (Hydraulic), 5.33," Double wishbone, Coil Spring, Gas damper, Anti roll bar"," Double wishbone, Coil Spring, Gas damper, Anti roll bar", Alloy Wheels, 255 / 35 R20, 295 / 30 R20, Alloy, 509, 70, 2, 4470, 1923, 1307, 2622, 100, 1735, 1, 2,," 4 Airbags (Driver, Passenger, Driver Side, Front Passenger Side)",,,,No information,,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information, Dynamic, Front & Rear, Reverse Camera with Guidance, Digital,No information, Digital,,,No information,No information,,,,No information, LCD Display,No information," Android Auto (Yes), Apple Car Play (Yes)",No information,,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control",, Driver & Co-Driver, Electronic - All,No information,, Disc, Disc,No information,No information,No information,No information,No information,No information,, Leather," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)"," 8 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, seat base angle up / down)",,No information,, Front,, Front Only, Front, Front,No information,, Body Coloured, Chrome,,, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Internal with Remote, LED,No information,No information,No information, LED, LED, Single Tone,No information,No information,, Front,, Front Only,No information,No information,No information, Front,No information, Driver & Co-Driver,,No information,,,No information, 3, 100000,No information,,Jaguar F-Type V8 Convertible R-Dynamic 5.0,,No information,,,,,,No information,,,No information, 1 Din,No information,, Intelligent,No information,,,,,,,,
7, Electric," Automatic - 1 Gears, Sport Mode", 200, 4.8,, 470,"  Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable", 2 Electric Motors,,, Not Applicable, 4WD / AWD, BS 6, Power assisted (Electric), 6, Double Wishbone with Coil Spring, Integral Link with Coil Spring, Alloy Wheels, 255 / 55 R19, 255 / 55 R19, Space Saver, 505,, 5, 4682, 2139, 1566, 2990, 142, 2208, 2, 5, 5 Star (Euro NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",,,,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Front & Rear, 360 Camera, Digital,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information," Android Auto (Wired), Apple Car Play (Wired)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,,No information,No information,No information, Adaptive, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Common Fan Speed Control"," Blower, Vents on Pillars", Driver & Co-Driver, Electronic - Internal & Driver Door,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,, Leather," 12 way electrically adjustable with 3 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down) + 2 way manually adjustable (headrest up / down)"," 12 way electrically adjustable with 3 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down) + 2 way manually adjustable (headrest up / down)", 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Body Coloured, Silver,,, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED, LED, Dual Tone,No information,," Ebony, Light Oyster / Ebony", Front and Rear, Multi-colour, Front & Rear,,,No information, Front & Rear,No information, Driver & Co-Driver,No information,No information, Fixed,No information,No information, 3, 100000,  160000, 2 Way,Jaguar I-Pace SE, Full-time,No information,No information, Partial, 40:20:40 split,, Optional,,," Regenerative Braking, Pure Electric Driving Mode",,,,, Intelligent,, 2 Permanent magnet synchronous Placed At One motor each on front and rear axle, 394 bhp  696 Nm," 90 kWh, Lithium Ion, 389 Volt, 606 kg Battery Placed Under Floor Pan",No information,No information, 8,,
8, Electric," Automatic - 1 Gears, Sport Mode", 200, 4.8,, 470,"  Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable", 2 Electric Motors,,, Not Applicable, 4WD / AWD, BS 6, Power assisted (Electric), 6, Double Wishbone with Coil Spring, Integral Link with Coil Spring, Alloy Wheels, 255 / 55 R19, 255 / 55 R19, Space Saver, 505,, 5, 4682, 2139, 1566, 2990, 142, 2208, 2, 5, 5 Star (Euro NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",,,,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Front & Rear, Reverse Camera, Digital,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information," Android Auto (Wired), Apple Car Play (Wired)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,,No information,No information,No information, Adaptive, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Common Fan Speed Control"," Blower, Vents on Pillars", Driver & Co-Driver, Electronic - Internal & Driver Door,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,, Leather," 12 way electrically adjustable with 3 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down) + 2 way manually adjustable (headrest up / down)"," 12 way electrically adjustable with 3 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down) + 2 way manually adjustable (headrest up / down)", 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Body Coloured, Silver,,, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Opening and Closing, LED,No information,No information,No information, LED, LED, Dual Tone,No information,," Ebony, Light Oyster / Ebony", Front and Rear, Multi-colour, Front & Rear,,,No information, Front & Rear,No information, Driver & Co-Driver,No information,No information, Fixed,No information,No information, 3, 100000,  160000, 2 Way,Jaguar I-Pace SE Black Edition, Full-time,No information,No information, Partial, 40:20:40 split,, Optional,,," Regenerative Braking, Pure Electric Driving Mode",,,,, Intelligent,, 2 Permanent magnet synchronous Placed At One motor each on front and rear axle, 394 bhp  696 Nm," 90 kWh, Lithium Ion, 389 Volt, 606 kg Battery Placed Under Floor Pan",No information,No information, 8,,
9, Electric," Automatic - 1 Gears, Sport Mode", 200, 4.8,, 470,"  Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable", 2 Electric Motors,,, Not Applicable, 4WD / AWD, BS 6, Power assisted (Electric), 6, Double Wishbone with Coil Spring, Integral Link with Coil Spring, Alloy Wheels, 255 / 55 R19, 255 / 55 R19, Space Saver, 505,, 5, 4682, 2139, 1566, 2990, 142, 2208, 2, 5, 5 Star (Euro NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",,,,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Keyless, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,, Front & Rear, 360 Camera, Digital,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information, Touch-screen Display,No information," Android Auto (Wired), Apple Car Play (Wired)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,,No information,No information,No information, Adaptive, Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Common Fan Speed Control"," Blower, Vents on Pillars", Driver & Co-Driver, Electronic - Internal & Driver Door,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,, Leather," 16 way electrically adjustable with 3 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down, extended thigh support forward / back, backrest bolsters in / out) + 2 way manually adjustable (headrest up / down)"," 16 way electrically adjustable with 3 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back, seat base angle up / down, extended thigh support forward / back, backrest bolsters in / out) + 2 way manually adjustable (headrest up / down)", 2 way manually adjustable (headrest up / down),No information,No information, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Body Coloured, Silver,,, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Foot Trigger Opening/Automatic, LED,No information,No information,No information, LED, LED, Dual Tone,No information,," Ebony, Light Oyster / Ebony, Siena Tan / Ebony", Front and Rear, Multi-colour, Front & Rear,,,No information, Front & Rear,No information, Driver & Co-Driver,No information,No information, Fixed,No information,No information, 3, 100000,  160000, 2 Way,Jaguar I-Pace HSE, Full-time,No information,No information, Partial, 40:20:40 split,, Optional,,," Regenerative Braking, Pure Electric Driving Mode",,,,, Intelligent,, 2 Permanent magnet synchronous Placed At One motor each on front and rear axle, 394 bhp  696 Nm," 90 kWh, Lithium Ion, 389 Volt, 606 kg Battery Placed Under Floor Pan",No information,No information, 8, All, Heated and cooled
